title,text
Ответ Катенину,Пора убраться на покой.
Ответ Катенину,Останься ты в строях Парнаса;
Ответ Катенину,Пред делом кубок наливай
Ответ Катенину,Однн с похмелья пожинай.
19 октября 1827,"Бог помочь вам, друзья мои,"
19 октября 1827,"В заботах жизни, царской службы,"
19 октября 1827,"И на пирах разгульной дружбы,"
19 октября 1827,И в сладких таинствах любви!
19 октября 1827,"Бог помочь вам, друзья мои,"
19 октября 1827,"И в бурях, и в житейском горе,"
19 октября 1827,"В краю чужом, в пустынном мире,"
19 октября 1827,И в мрачных пропастях земли!
"В твою светлицу, друг мой нежный…","В твою светлицу, друг мой нежный,"
"В твою светлицу, друг мой нежный…",Я прихожу в последний раз.
"В твою светлицу, друг мой нежный…","Любви, отрады безмятежной"
"В твою светлицу, друг мой нежный…",Делю с тобой последний час.
"В твою светлицу, друг мой нежный…",Вперед одна в надежде томной
"В твою светлицу, друг мой нежный…","Не жди меня средь ночи темной,"
"В твою светлицу, друг мой нежный…",До первых утренних лучей
"В твою светлицу, друг мой нежный…",Не жги свечей.
Лиле,"Лила, Лила! я страдаю"
Лиле,"Безотрадною тоской,"
Лиле,"Я томлюсь, я умираю,"
Лиле,Гасну пламенной душой;
Лиле,Но любовь моя напрасна:
Лиле,Ты смеешься надо мной.
Лиле,"Смейся, Лила: ты прекрасна"
Лиле,И бесчувственной красой.
На Александра I (Воспитанный под барабаном…),"Воспитанный под барабаном,"
На Александра I (Воспитанный под барабаном…),Наш царь лихим был капитаном:
На Александра I (Воспитанный под барабаном…),"Под Австерлицем он бежал,"
На Александра I (Воспитанный под барабаном…),"В двенадцатом году дрожал,"
На Александра I (Воспитанный под барабаном…),Зато был фрунтовой профессор!
На Александра I (Воспитанный под барабаном…),Теперь коллежский он асессор
На Александра I (Воспитанный под барабаном…),По части иностранных дел!
"Покойник, автор сухощавый…","Покойник, автор сухощавый,"
"Покойник, автор сухощавый…","Писал для денег, пил из славы."
Красавица перед зеркалом,"Взгляни на милую, когда свое чело"
Красавица перед зеркалом,"Она пред зеркалом цветами окружает,"
Красавица перед зеркалом,"Играет локоном, и верное стекло"
Красавица перед зеркалом,"Улыбку, хитрый взор и гордость отражает."
Родословная моего героя. (Отрывок из сатирической поэмы.),Мой Езерский
Родословная моего героя. (Отрывок из сатирической поэмы.),"Происходил от тех вождей,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Чей в древни веки парус дерзкий
Родословная моего героя. (Отрывок из сатирической поэмы.),Поработил брега морей.
Родословная моего героя. (Отрывок из сатирической поэмы.),"Одульф, его начальник рода,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Вельми бе грозен воевода
Родословная моего героя. (Отрывок из сатирической поэмы.),(Гласит Софийский Хронограф).
Родословная моего героя. (Отрывок из сатирической поэмы.),При Ольге сын его Варлаф
Родословная моего героя. (Отрывок из сатирической поэмы.),Приял крещенье в Цареграде
Родословная моего героя. (Отрывок из сатирической поэмы.),С приданым греческой княжны.
Родословная моего героя. (Отрывок из сатирической поэмы.),"От них два сына рождены,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Якуб и Дорофей. В засаде
Родословная моего героя. (Отрывок из сатирической поэмы.),"Убит Якуб, а Дорофей"
Родословная моего героя. (Отрывок из сатирической поэмы.),Родил двенадцать сыновей.
Родословная моего героя. (Отрывок из сатирической поэмы.),"Ондрей, по прозвищу Езерский"
Родословная моего героя. (Отрывок из сатирической поэмы.),Родил Ивана да Илью
Родословная моего героя. (Отрывок из сатирической поэмы.),И в лавре схимился Печерской.
Родословная моего героя. (Отрывок из сатирической поэмы.),Отсель фамилию свою
Родословная моего героя. (Отрывок из сатирической поэмы.),Ведут Езерские. При Калке
Родословная моего героя. (Отрывок из сатирической поэмы.),Один из них был схвачен в свалке
Родословная моего героя. (Отрывок из сатирической поэмы.),А там раздавлен как комар
Родословная моего героя. (Отрывок из сатирической поэмы.),Задами тяжкими татар.
Родословная моего героя. (Отрывок из сатирической поэмы.),"Зато со славой, хоть с уроном,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Другой Езерский, Елизар,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Упился кровию татар,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Между Непрядвою и Доном,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Ударя с тыла в табор их
Родословная моего героя. (Отрывок из сатирической поэмы.),С дружиной суздальцев своих.
Родословная моего героя. (Отрывок из сатирической поэмы.),"В века старинной нашей славы,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Как и в худые времена,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Крамол и смут во дни кровавы
Родословная моего героя. (Отрывок из сатирической поэмы.),Блестят Езерских имена.
Родословная моего героя. (Отрывок из сатирической поэмы.),Они и в войске и в совете.
Родословная моего героя. (Отрывок из сатирической поэмы.),"На воеводстве, и в ответе<sup>1</sup>"
Родословная моего героя. (Отрывок из сатирической поэмы.),Служили доблестно царям.
Родословная моего героя. (Отрывок из сатирической поэмы.),Из них Езерский Варлаам
Родословная моего героя. (Отрывок из сатирической поэмы.),Гордыней славился боярской;
Родословная моего героя. (Отрывок из сатирической поэмы.),"За спор то с тем он, то с другим,"
Родословная моего героя. (Отрывок из сатирической поэмы.),С большим бесчестьем выводим
Родословная моего героя. (Отрывок из сатирической поэмы.),"Бывал из-за трапезы царской,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Но снова шел под тяжкий гнев
Родословная моего героя. (Отрывок из сатирической поэмы.),Когда от Думы величавой
Родословная моего героя. (Отрывок из сатирической поэмы.),"Приял Романов свой венец,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Как под отеческой державой
Родословная моего героя. (Отрывок из сатирической поэмы.),"Русь отдохнула наконец,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"А наши вороги смирились,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Тогда Езерские явились
Родословная моего героя. (Отрывок из сатирической поэмы.),"В великой силе при дворе,"
Родословная моего героя. (Отрывок из сатирической поэмы.),При императоре Петре….
Родословная моего героя. (Отрывок из сатирической поэмы.),"Но извините: статься может,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Читатель, вам я досадил;"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Ваш ум дух века просветил,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Вас спесь дворянская не гложет,"
Родословная моего героя. (Отрывок из сатирической поэмы.),И нужды нет вам никакой
Родословная моего героя. (Отрывок из сатирической поэмы.),До вашей книги родовой.
Родословная моего героя. (Отрывок из сатирической поэмы.),"Кто б ни был ваш родоначальник,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Мстислав, князь Курбский, иль Ермак,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Или Митюшка целовальник,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Вам всё равно. Конечно, так;"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Вы презираете отцами,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Их славой, частию, правами"
Родословная моего героя. (Отрывок из сатирической поэмы.),Великодушно и умно;
Родословная моего героя. (Отрывок из сатирической поэмы.),"Вы отреклись от них давно,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Прямого просвещенья ради,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Гордясь (как общей пользы друг)
Родословная моего героя. (Отрывок из сатирической поэмы.),"Красою собственных заслуг,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Звездой двоюродного дяди,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Иль приглашением на бал
Родословная моего героя. (Отрывок из сатирической поэмы.),"Туда, где дед ваш не бывал."
Родословная моего героя. (Отрывок из сатирической поэмы.),Собраться надо мной трунят
Родословная моего героя. (Отрывок из сатирической поэмы.),"Я мещанин, как вам известно,"
Родословная моего героя. (Отрывок из сатирической поэмы.),И в этом смысле демократ;
Родословная моего героя. (Отрывок из сатирической поэмы.),Люблю от бабушки московской
Родословная моего героя. (Отрывок из сатирической поэмы.),"Я толки слушать о родне,"
Родословная моего героя. (Отрывок из сатирической поэмы.),О толстобрюхой старине.
Родословная моего героя. (Отрывок из сатирической поэмы.),"Мне жаль, что нашей славы звуки"
Родословная моего героя. (Отрывок из сатирической поэмы.),Уже нам чужды; что спроста
Родословная моего героя. (Отрывок из сатирической поэмы.),"Что нам не в прок пошли науки,"
Родословная моего героя. (Отрывок из сатирической поэмы.),И что спасибо нам за то
Родословная моего героя. (Отрывок из сатирической поэмы.),"Не скажет, кажется, никто."
Родословная моего героя. (Отрывок из сатирической поэмы.),"Мне жаль, что тех родов боярских"
Родословная моего героя. (Отрывок из сатирической поэмы.),Бледнеет блеск и никнет дух;
Родословная моего героя. (Отрывок из сатирической поэмы.),"Мне жаль, что нет князей Пожарских,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Что о других пропал и слух,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Что их поносит и Фиглярин,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Что русский ветреный боярин
Родословная моего героя. (Отрывок из сатирической поэмы.),Считает грамоты царей
Родословная моего героя. (Отрывок из сатирической поэмы.),"За пыльный сбор календарей,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Что в нашем тереме забытом
Родословная моего героя. (Отрывок из сатирической поэмы.),"Растет пустынная трава,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Что геральдического льва
Родословная моего героя. (Отрывок из сатирической поэмы.),Демократическим копытом
Родословная моего героя. (Отрывок из сатирической поэмы.),Теперь лягает и осел:
Родословная моего героя. (Отрывок из сатирической поэмы.),Дух века вот куда зашел!
Родословная моего героя. (Отрывок из сатирической поэмы.),"Вот почему, архивы роя,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Я разбирал в досужный час
Родословная моего героя. (Отрывок из сатирической поэмы.),"Всю родословную героя,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"О ком затеял свой рассказ,"
Родословная моего героя. (Отрывок из сатирической поэмы.),И здесь потомству заповедал.
Родословная моего героя. (Отрывок из сатирической поэмы.),"Езерский сам же твердо ведал,"
Родословная моего героя. (Отрывок из сатирической поэмы.),"Что дед его, великий муж,"
Родословная моего героя. (Отрывок из сатирической поэмы.),Имел двенадцать тысяч душ;
Родословная моего героя. (Отрывок из сатирической поэмы.),Из них отцу его досталась
Родословная моего героя. (Отрывок из сатирической поэмы.),"Осьмая часть, и та сполна"
Родословная моего героя. (Отрывок из сатирической поэмы.),Была давно заложена
Родословная моего героя. (Отрывок из сатирической поэмы.),И ежегодно продавалась;
Родословная моего героя. (Отрывок из сатирической поэмы.),А сам он жалованьем жил
Родословная моего героя. (Отрывок из сатирической поэмы.),И регистратором служил.
Родословная моего героя. (Отрывок из сатирической поэмы.),От западных морей до самых врат восточных
Родословная моего героя. (Отрывок из сатирической поэмы.),Не многие умы от благ прямых и прочных
Родословная моего героя. (Отрывок из сатирической поэмы.),Зло могут отличить… рассудок редко нам
Родословная моего героя. (Отрывок из сатирической поэмы.),Внушает &#171;Пошли мне долгу жизнь и многие года!&#187;
Родословная моего героя. (Отрывок из сатирической поэмы.),Зевеса вот о чем и всюду и всегда
Родословная моего героя. (Отрывок из сатирической поэмы.),"Исполнен долгой? век! Во-первых, как рубцами,"
Эпиграмма (Как брань тебе не надоела…),Как брань тебе не надоела?
Эпиграмма (Как брань тебе не надоела…),Расчет короток мой с тобой:
Эпиграмма (Как брань тебе не надоела…),"Ну, так, я празден, я без дела,"
Эпиграмма (Как брань тебе не надоела…),А ты бездельник деловой.
Царь увидел пред собою…,Царь увидел пред собою
Царь увидел пред собою…,Столик с шахматной доскою.
Царь увидел пред собою…,Вот на шахматную доску
Царь увидел пред собою…,Рать солдатиков из воску
Царь увидел пред собою…,Он расставил в стройный ряд.
Царь увидел пред собою…,"Грозно куколки сидят,"
Царь увидел пред собою…,"Подбоченясь на лошадках,"
Царь увидел пред собою…,"В коленкоровых перчатках,"
Царь увидел пред собою…,"В оперенных шишачках,"
Царь увидел пред собою…,С шалашами на плечах.
Царь увидел пред собою…,Тут лохань перед собою
Царь увидел пред собою…,Приказал налить водою;
Царь увидел пред собою…,Плавать он пустил по ней
Царь увидел пред собою…,"Тьму прекрасных кораблей,"
Царь увидел пред собою…,"Барок, каторог и шлюпок"
Царь увидел пред собою…,А прозрачные ветрильцы
Царь увидел пред собою…,"Будто Бабочкины крильцы,"
Олегов щит,Когда ко граду Константина
Олегов щит,"С тобой, воинственный варяг,"
Олегов щит,Пришла славянская дружина
Олегов щит,"И развила победы стяг,"
Олегов щит,"Тогда во славу Руси ратной,"
Олегов щит,"Строптиву греку в стыд и страх,"
Олегов щит,Ты пригвоздил свой щит булатный
Олегов щит,На цареградских воротах.
Олегов щит,Настали дни вражды кровавой;
Олегов щит,Твой путь мы снова обрели.
Олегов щит,"Но днесь, когда мы вновь со славой"
Олегов щит,"К Стамбулу грозно притекли,"
Олегов щит,"Твой холм потрясся с бранным гулом,"
Олегов щит,"Твой стон ревнивый нас смутил,"
Олегов щит,И нашу рать перед Стамбулом
Олегов щит,Твой старый щит остановил.
Анчар,"В пустыне чахлой и скупой,"
Анчар,"На почве, зноем раскаленной,"
Анчар,"Анчар, как грозный часовой,"
Анчар,Природа жаждущих степей
Анчар,Его в день гнева породила
Анчар,И зелень мертвую ветвей
Анчар,И корни ядом напоила.
Анчар,"Яд каплет сквозь его кору,"
Анчар,"К полудню растопясь от зною,"
Анчар,И застывает ввечеру
Анчар,"Густой прозрачною смолою,"
Анчар,"К нему и птица не летит,"
Анчар,На древо смерти набежит
Анчар,"И мчится прочь уже тлетворный,"
Анчар,"И если туча оросит,"
Анчар,"Блуждая, лист его дремучий,"
Анчар,"С его ветвей, уж ядовит,"
Анчар,Стекает дождь в песок горючий.
Анчар,Но человека человек
Анчар,"Послал к анчару властным взглядом,"
Анчар,И тот послушно в путь потек
Анчар,И к утру возвратился с ядом.
Анчар,Принес он смертную смолу
Анчар,"Да ветвь с увядшими листами,"
Анчар,И пот по бледному челу
Анчар,Струился хладными ручьями;
Анчар,"Под сводом шалаша на лыки,"
Анчар,И умер бедный раб у ног
Анчар,Непобедимого владыки.
Анчар,А князь тем ядом напитал
Анчар,Свои послушливые стрелы
Анчар,И с ними гибель разослал
Анчар,К соседам в чуждые пределы.
27 мая 1819,Веселый вечер в жизни пашей
27 мая 1819,"Запомним, юные друзья;"
27 мая 1819,Шампанского в стеклянной чаше
27 мая 1819,Шипела хладная струя.
27 мая 1819,"Сидела, прея, за столом."
27 мая 1819,Когда ж вновь сядем вчетвером
"Variantes en l’honneur de m-lle NN (Почтения, любви и нежной дружбы ради…)","Почтения, любви и нежной дружбы ради"
"Variantes en l’honneur de m-lle NN (Почтения, любви и нежной дружбы ради…)","Хвалю тебя, мой друг, и спереди и сзади."
Приметы,Старайся наблюдать различные приметы.
Приметы,"Пастух и земледел в младенческие леты,"
Приметы,"Взглянув на небеса, на западную тень,"
Приметы,"Умеют уж предречь и ветр, и ясный день,"
Приметы,"И майские дожди, младых полей отраду,"
Приметы,"И мразов ранний хлад, опасный винограду."
Приметы,"Так, если лебеди, на лоне тихих вод"
Приметы,"Плескаясь вечером, окличут твой приход,"
Приметы,"Иль солнце яркое зайдет в печальны тучи,"
Приметы,"Знай, завтра сонных дев разбудит дождь ревучий"
Приметы,"Иль бьющий в окна град, а ранний селянин,"
Приметы,"Готовясь уж косить высокий злак долин,"
Приметы,"Услыша бури шум, не выйдет на работу"
Приметы,И погрузится вновь в ленивую дремоту.
Царь Никита и сорок его дочерей,Царь Никита жил когда-то
Царь Никита и сорок его дочерей,"Праздно, весело, богато,"
Царь Никита и сорок его дочерей,"Не творил добра, ни зла,"
Царь Никита и сорок его дочерей,И земля его цвела.
Царь Никита и сорок его дочерей,"Царь трудился по немногу,"
Царь Никита и сорок его дочерей,"Кушал, пил, молился богу"
Царь Никита и сорок его дочерей,И от разных матерей
Царь Никита и сорок его дочерей,"Прижил сорок дочерей,"
Царь Никита и сорок его дочерей,"Сорок девушек прелестных,"
Царь Никита и сорок его дочерей,"Сорок ангелов небесных,"
Царь Никита и сорок его дочерей,Милых сердцем и душой.
Царь Никита и сорок его дочерей,"А головка, темный волос,"
Царь Никита и сорок его дочерей,"Словом, с головы до ног"
Царь Никита и сорок его дочерей,"Душу, сердце всё пленяло."
Царь Никита и сорок его дочерей,Одного не доставало.
Царь Никита и сорок его дочерей,Да чего же одного?
Царь Никита и сорок его дочерей,"Так, безделки, ничего."
Царь Никита и сорок его дочерей,"Ничего иль очень мало,"
Царь Никита и сорок его дочерей,"Как бы это изъяснить,"
Царь Никита и сорок его дочерей,Чтоб совсем не рассердить
Царь Никита и сорок его дочерей,"Богомольной важной дуры,"
Царь Никита и сорок его дочерей,Слишком чопорной цензуры?
Царь Никита и сорок его дочерей,"Как быть?… Помоги мне, бог!"
Царь Никита и сорок его дочерей,У царевен между ног…
Царь Никита и сорок его дочерей,"Нет, уж это слишком ясно"
Царь Никита и сорок его дочерей,"И для скромности опасно,"
Царь Никита и сорок его дочерей,Так иначе как-нибудь:
Царь Никита и сорок его дочерей,"Я люблю в Венере грудь,"
Царь Никита и сорок его дочерей,"Губки, ножку особливо,"
Царь Никита и сорок его дочерей,"Но любовное огниво,"
Царь Никита и сорок его дочерей,Цель желанья моего…
Царь Никита и сорок его дочерей,Что такое?.. Ничего!..
Царь Никита и сорок его дочерей,"Ничего, иль очень мало…"
Царь Никита и сорок его дочерей,И того-то не бывало
Царь Никита и сорок его дочерей,"У царевен молодых,"
Царь Никита и сорок его дочерей,Шаловливых и живых.
Царь Никита и сорок его дочерей,Их чудесное рожденье
Царь Никита и сорок его дочерей,Привело в недоуменье
Царь Никита и сорок его дочерей,Все придворные сердца.
Царь Никита и сорок его дочерей,Грустно было для отца
Царь Никита и сорок его дочерей,И для матерей печальных…
Царь Никита и сорок его дочерей,А от бабок повивальных
Царь Никита и сорок его дочерей,Как узнал о том народ
Царь Никита и сорок его дочерей,"Всякий тут разинул рот,"
Царь Никита и сорок его дочерей,"Ахал, охал, дивовался,"
Царь Никита и сорок его дочерей,"А иной, хоть и смеялся,"
Царь Никита и сорок его дочерей,"Да тихонько, чтобы в путь"
Царь Никита и сорок его дочерей,До Нерчинска не махнуть.
Царь Никита и сорок его дочерей,"Царь созвал своих придворных,"
Царь Никита и сорок его дочерей,"Нянек, мамушек покорных"
Царь Никита и сорок его дочерей,Им держал такой приказ:
Царь Никита и сорок его дочерей,&#171;Если кто-нибудь из вас
Царь Никита и сорок его дочерей,"Дочерей греху научит,"
Царь Никита и сорок его дочерей,"Или мыслить их приучит,"
Царь Никита и сорок его дочерей,"Или только намекнет,"
Царь Никита и сорок его дочерей,"Что у них недостает,"
Царь Никита и сорок его дочерей,"Иль двусмысленное скажет,"
Царь Никита и сорок его дочерей,"Или кукиш им покажет,"
Царь Никита и сорок его дочерей,"Бабам вырежу язык,"
Царь Никита и сорок его дочерей,"А мужчинам нечто хуже,"
Царь Никита и сорок его дочерей,Что порой бывает туже&#187;.
Царь Никита и сорок его дочерей,"Царь был строг, но справедлив,"
Царь Никита и сорок его дочерей,А приказ красноречив;
Царь Никита и сорок его дочерей,"Всяк со страхом поклонился,"
Царь Никита и сорок его дочерей,"Остеречься всяк решился,"
Царь Никита и сорок его дочерей,Ухо всяк держал востро
Царь Никита и сорок его дочерей,И хранил свое добро.
Царь Никита и сорок его дочерей,"Жены бедные боялись,"
Царь Никита и сорок его дочерей,Чтоб мужья не проболтались;
Царь Никита и сорок его дочерей,Втайне думали мужья:
Царь Никита и сорок его дочерей,"&#171;Провинись, жена моя!&#187;"
Царь Никита и сорок его дочерей,"(Видно, сердцем были гневны)."
Царь Никита и сорок его дочерей,Подросли мои царевны.
Царь Никита и сорок его дочерей,Изложил там свой предмет:
Царь Никита и сорок его дочерей,"Тихо, шопотом, негласно,"
Царь Никита и сорок его дочерей,Осторожнее от слуг.
Царь Никита и сорок его дочерей,"Призадумались бояры,"
Царь Никита и сорок его дочерей,Как лечить такой недуг.
Царь Никита и сорок его дочерей,Вот один советник старый
Царь Никита и сорок его дочерей,В лысый лоб рукою брякнул
Царь Никита и сорок его дочерей,И царю он так вавакнул:
Царь Никита и сорок его дочерей,"&#171;О, премудрый государь!"
Царь Никита и сорок его дочерей,"Не взыщи мою ты дерзость,"
Царь Никита и сорок его дочерей,Если про плотскую мерзость
Царь Никита и сорок его дочерей,"Расскажу, что было встарь."
Царь Никита и сорок его дочерей,Мне была знакома сводня
Царь Никита и сорок его дочерей,(Где она? и чем сегодня?
Царь Никита и сорок его дочерей,"Верно тем же, чем была)."
Царь Никита и сорок его дочерей,"Баба ведьмою слыла,"
Царь Никита и сорок его дочерей,"Всем недугам пособляла,"
Царь Никита и сорок его дочерей,Немощь членов исцеляла.
Царь Никита и сорок его дочерей,Вот ее бы разыскать;
Царь Никита и сорок его дочерей,Ведьма дело всё поправит:
Царь Никита и сорок его дочерей,Восклицает царь Никита.
Царь Никита и сорок его дочерей,Брови сдвинувши сердито:
Царь Никита и сорок его дочерей,"Если ж нас она обманет,"
Царь Никита и сорок его дочерей,"Чего надо не достанет,"
Царь Никита и сорок его дочерей,"На бобах нас проведет,"
Царь Никита и сорок его дочерей,"Или с умыслом солжет,"
Царь Никита и сорок его дочерей,"Будь не царь я, а бездельник,"
Царь Никита и сорок его дочерей,Если в чистый понедельник
Царь Никита и сорок его дочерей,Сжечь колдунью не велю:
